Gene	Glucose_fg_cell	Chemostat_mu_0_5
elbB	4.86E-02	6.68E-02
lldD	1.05E-02	2.62E-02
mlaD	3.56E-02	2.24E-02
rcsB	1.09E-01	7.39E-02
mrp	8.72E-02	5.28E-02
glyQ	9.57E-02	7.03E-02
sbp	8.25E-02	3.93E-02
nagA	1.92E-02	2.41E-02
yihI	3.71E-02	3.09E-02
rsuA	6.48E-02	4.06E-02
nagD	5.71E-02	3.85E-02
yhbO	9.00E-03	9.24E-03
glgP	2.08E-02	3.40E-02
greA	7.16E-02	6.11E-02
speD	8.97E-02	3.95E-02
yceI	7.26E-02	3.57E-02
ilvH	4.57E-02	3.21E-02
metA	1.59E-01	5.29E-02
cueO	9.70E-02	6.79E-02
hpt	4.28E-02	2.25E-02
nrdB	3.24E-02	3.36E-02
ribC	2.90E-02	2.37E-02
yqjG	6.64E-03	4.27E-03
fre	2.80E-02	3.48E-02
iscU	2.16E-01	2.33E-01
yrdA	2.82E-02	7.03E-03
yidA	2.52E-02	1.08E-02
wbbI	4.94E-02	4.06E-02
glgX	1.35E-02	9.35E-03
msrB	3.33E-02	4.49E-02
ydbK	1.40E-02	1.33E-02
ygiC	2.88E-02	1.65E-02
entB	1.31E-02	4.44E-03
modF	2.10E-02	2.18E-02
mrcA	4.79E-03	5.63E-03
cusS	1.94E-02	1.77E-02
hscB	2.82E-02	1.98E-02
ftsN	1.02E-02	1.08E-02
znuA	2.43E-02	5.11E-03
gatD	7.96E-03	4.83E-02
mdtA	9.32E-03	5.15E-03
ucpA	5.62E-03	1.80E-02
rbsA	1.66E-03	8.24E-03
yhiI	1.15E-02	1.33E-02
rpoS	1.38E-02	1.99E-02
ycdX	1.07E-02	9.24E-03
livG	9.56E-03	2.21E-02
udk	7.77E-03	9.64E-03
xylB	4.19E-03	3.16E-03
ycbX	1.43E-02	1.08E-02
mnmG	9.65E-03	1.14E-02
xylF	5.57E-03	1.04E-02
lipA	2.62E-02	2.81E-02
pcnB	3.87E-03	7.22E-03
frdA	4.00E-03	9.39E-03
argI	4.93E-02	2.89E-02
nuoB	1.27E-02	1.82E-02
malK	5.93E-03	3.87E-02
bioB	2.35E-02	9.54E-03
oppF	3.52E-03	5.93E-03
osmC	1.90E-01	1.74E-01
rplL	1.26E+00	6.52E-01
rplI	9.12E-01	5.17E-01
efp	6.13E-01	3.86E-01
clpP	3.39E-01	2.47E-01
slyD	6.80E-01	4.73E-01
gadC	5.65E-03	5.93E-03
ilvE	1.48E-01	1.34E-01
yceF	8.42E-02	1.07E-01
ribE	1.97E-01	1.44E-01
rpoZ	1.55E-01	1.22E-01
ppiB	6.94E-02	6.01E-02
ybbN	1.42E-01	9.64E-02
ndk	2.99E-01	5.42E-01
yfiF	7.06E-02	6.12E-02
ycfD	5.80E-02	4.51E-02
speB	7.14E-02	5.22E-02
ybgF	6.48E-02	3.29E-02
dcyD	5.75E-02	4.47E-02
yedD	4.14E-02	3.27E-02
rpmD	8.98E-02	5.75E-02
ysgA	3.33E-02	6.72E-02
rpmB	1.46E-01	1.41E-01
apt	1.01E-01	4.90E-02
moeA	3.94E-02	2.34E-02
